"My Wishlist", "Wishlist"
"My Wishlist (%d item)","Wishlist (%d)"
"My Wishlist (%d items)","Wishlist (%d)"
"My Cart (%s item)","My Cart (%s)"
"My Cart (%s items","My Cart (%s)"
"Proceed to Checkout","Checkout"
"Your Checkout Progress","Checkout Progress"
"Place Order","Order"
"Recently Viewed Products","Recently Products"
"Clear Shopping Cart","Clear Cart"
"Update Shopping Cart","Update Cart"
"Gift Registry", "registries"
"Account Dashboard", "My Dashboard"
"Product Description","Description"